20:09:32 - [info] - init PwrShellOps Toolkit | by [Oz]
20:32:40 - [info] - init by [Oz]
20:32:58 - [Error] - Invoke-Expression  Log-Change | param: 
20:33:28 - [Error] - Invoke-Expression  Log-Change | param: 
20:57:42 - [Error] - Invoke-Expression  Log-Change | param: 
20:58:10 - [info] - init by [oz]
21:00:03 - [Error] - Invoke-Expression  Get-EnvVars | param: 
21:00:40 - [Info] - Invoke-Expression: [Convert-SubnetToBinary]  | param:  by [oz]
23:03:47 - [info] - init POWERDESK by [oz]
23:04:02 - [Error] - Invoke-Expression  Log-Change | param: 
23:04:39 - [Error] - Invoke-Expression  Log-Change | param: -Msg "hello"
23:10:56 - [info] - init POWERDESK by [oz]
23:53:10 - [info] - init POWERDESK by [oz]
23:55:46 - [info] - init POWERDESK by [oz]
23:56:05 - [info] - init POWERDESK by [oz]
23:56:21 - [info] - init POWERDESK by [oz]
23:59:53 - [info] - init POWERDESK by [1x]
